hour_of_day,day_of_week,is_weekend,is_peak_hour,stop_count,distance_km,weather,congestion_index,passenger_load,actual_travel_time_minutes
12,6,1,0,5,19.6,3,0.312,0.387,79.9
19,3,0,1,11,6.8,0,0.572,0.681,27.5
7,4,0,1,4,20.2,0,0.498,0.829,70.6
6,5,1,0,8,10.7,2,0.461,0.108,52.5
6,6,1,0,8,22.5,3,0.638,0.261,115.9
8,3,0,1,4,4.0,2,0.94,0.577,24.0
22,1,0,0,10,3.1,0,0.262,0.314,20.9
11,4,0,0,12,26.6,2,0.441,0.405,121.7
10,5,1,0,12,17.1,4,0.164,0.254,79.8
16,1,0,0,5,5.4,0,0.312,0.233,19.8
7,5,1,1,8,29.4,2,0.76,0.884,137.7
22,6,1,0,12,10.3,0,0.246,0.317,36.9
16,1,0,0,5,23.3,0,0.332,0.386,73.9
20,3,0,0,13,25.9,0,0.457,0.41,107.2
11,3,0,0,4,12.6,0,0.321,0.217,46.3
14,1,0,0,3,16.1,2,0.529,0.595,62.3
22,5,1,0,3,3.1,0,0.21,0.343,11.4
9,4,0,1,4,23.4,0,0.926,0.615,93.0
6,0,0,0,11,16.9,2,0.499,0.481,88.9
13,0,0,0,6,19.8,0,0.33,0.237,67.0
14,2,0,0,12,17.8,4,0.419,0.513,109.7
21,5,1,0,13,24.4,0,0.33,0.234,78.9
14,0,0,0,7,12.1,0,0.415,0.432,41.0
5,0,0,0,10,27.5,0,0.194,0.393,94.1
14,4,0,0,3,7.5,0,0.465,0.363,30.2
21,4,0,0,6,28.7,2,0.545,0.436,117.4
9,6,1,1,5,4.4,1,0.44,0.809,20.2
7,1,0,1,3,27.5,1,0.675,0.86,110.6
8,4,0,1,8,19.4,2,0.992,0.65,105.8
14,5,1,0,12,18.3,1,0.161,0.753,70.7
18,6,1,1,3,23.0,1,0.44,0.687,91.1
16,1,0,0,14,17.0,1,0.414,0.586,71.9
14,0,0,0,9,8.8,1,0.29,0.427,39.5
18,2,0,1,9,22.5,2,0.757,0.83,106.3
12,6,1,0,5,11.5,3,0.273,0.415,50.2
15,6,1,0,5,6.6,2,0.568,0.486,32.0
12,1,0,0,10,22.7,0,0.112,0.535,66.7
18,1,0,1,11,25.0,0,0.73,0.906,108.7
8,1,0,1,7,5.5,0,0.631,0.618,25.4
16,0,0,0,4,16.8,0,0.159,0.414,63.9
22,4,0,0,8,17.6,0,0.223,0.09,64.5
16,5,1,0,14,25.9,0,0.214,0.324,95.9
10,4,0,0,11,8.6,1,0.18,0.286,34.2
16,1,0,0,13,9.1,2,0.466,0.394,46.6
12,5,1,0,9,5.3,0,0.332,0.577,23.8
5,4,0,0,4,19.3,3,0.579,0.206,93.2
14,6,1,0,6,29.8,3,0.377,0.506,151.1
8,1,0,1,5,21.2,0,0.486,0.62,71.7
22,0,0,0,7,6.6,0,0.28,0.24,26.6
16,1,0,0,13,22.8,1,0.342,0.518,94.0
16,6,1,0,10,22.9,2,0.318,0.42,82.3
17,0,0,1,7,10.9,2,0.696,0.952,48.1
10,0,0,0,6,8.3,1,0.338,0.386,34.2
17,0,0,1,13,25.7,0,0.825,0.766,91.8
7,4,0,1,4,28.2,2,0.947,0.535,154.4
8,4,0,1,3,8.0,1,0.701,0.54,33.3
8,6,1,1,4,3.3,0,0.457,0.798,14.3
22,2,0,0,5,17.2,1,0.364,0.165,63.9
14,3,0,0,6,10.4,1,0.246,0.332,36.9
7,5,1,1,12,20.9,0,0.565,0.456,85.7
19,2,0,1,13,16.1,4,1.0,0.901,105.1
8,5,1,1,14,15.3,2,0.662,0.673,76.0
19,6,1,1,14,10.7,0,0.589,0.766,59.5
18,5,1,1,6,10.3,2,0.632,0.627,47.6
14,1,0,0,11,7.0,3,0.499,0.672,44.5
12,0,0,0,14,28.9,1,0.289,0.411,112.2
15,6,1,0,5,23.9,0,0.187,0.459,78.8
21,3,0,0,12,9.0,1,0.306,0.413,46.2
9,4,0,1,4,11.1,4,0.909,0.803,69.9
7,0,0,1,10,6.3,0,0.567,0.531,28.5
17,0,0,1,9,24.2,1,0.824,0.807,130.5
13,0,0,0,13,9.2,0,0.409,0.536,52.0
21,6,1,0,6,4.7,0,0.02,0.322,17.3
14,0,0,0,5,19.1,0,0.239,0.476,59.6
19,3,0,1,10,11.4,1,0.548,0.89,46.6
17,0,0,1,12,9.3,0,0.404,0.789,53.3
11,0,0,0,4,26.3,1,0.321,0.275,104.3
10,2,0,0,11,26.3,0,0.225,0.213,96.3
16,1,0,0,13,6.8,0,0.349,0.354,29.3
19,0,0,1,3,22.9,0,0.793,0.939,113.0
21,3,0,0,9,21.1,2,0.485,0.283,95.6
10,1,0,0,8,29.6,0,0.461,0.265,97.9
7,5,1,1,8,28.7,0,0.385,0.881,91.9
8,1,0,1,9,22.0,0,0.614,0.704,92.7
8,0,0,1,7,3.9,0,0.682,0.93,24.6
18,4,0,1,13,20.0,0,0.5,0.806,78.6
15,6,1,0,5,10.2,0,0.308,0.54,43.9
13,0,0,0,7,17.9,1,0.073,0.261,62.0
11,4,0,0,10,17.3,2,0.279,0.334,71.8
17,1,0,1,8,7.1,1,0.572,0.449,31.1
10,5,1,0,4,27.2,1,0.232,0.32,93.9
21,3,0,0,3,14.8,1,0.31,0.351,45.5
14,6,1,0,12,14.1,4,0.295,0.358,69.5
6,3,0,0,4,16.8,1,0.33,0.284,66.2
17,2,0,1,12,9.2,0,0.689,0.786,48.2
19,1,0,1,5,22.6,0,0.602,0.555,96.6
10,5,1,0,4,3.8,2,0.401,0.6,18.8
11,0,0,0,11,23.1,1,0.284,0.382,93.1
13,1,0,0,4,15.1,4,0.484,0.192,76.3
21,6,1,0,8,27.6,4,0.454,0.48,118.8
12,4,0,0,13,4.9,0,0.41,0.464,33.7
20,6,1,0,13,4.2,1,0.145,0.504,26.0
10,4,0,0,10,27.5,2,0.292,0.368,118.8
20,0,0,0,12,23.1,2,0.426,0.443,98.9
20,5,1,0,14,5.1,0,0.257,0.391,27.7
12,6,1,0,7,27.0,1,0.298,0.235,103.3
14,1,0,0,6,11.6,0,0.436,0.154,51.2
22,6,1,0,4,3.6,2,0.304,0.513,18.0
17,5,1,1,11,6.7,2,0.595,0.695,37.8
5,6,1,0,12,23.3,1,0.076,0.501,84.9
19,1,0,1,5,27.5,4,0.867,0.676,156.0
21,1,0,0,3,4.9,1,0.295,0.473,19.1
7,5,1,1,8,11.4,1,0.66,0.553,53.4
15,4,0,0,6,25.5,1,0.285,0.364,88.6
6,4,0,0,6,21.1,1,0.21,0.546,75.2
13,6,1,0,3,6.6,1,0.274,0.304,24.5
20,3,0,0,14,15.7,0,0.309,0.42,55.5
14,2,0,0,3,28.7,0,0.252,0.744,90.9
10,1,0,0,6,19.5,0,0.2,0.319,69.9
22,5,1,0,12,5.0,0,0.176,0.465,33.0
9,3,0,1,4,24.3,0,0.67,0.611,93.7
7,1,0,1,11,9.3,0,0.667,0.303,50.4
16,6,1,0,4,8.8,0,0.109,0.29,29.9
15,6,1,0,11,23.1,1,0.222,0.247,85.9
10,2,0,0,14,18.7,3,0.416,0.659,80.9
22,4,0,0,6,4.6,0,0.265,0.473,17.5
12,1,0,0,11,28.9,0,0.415,0.541,118.4
12,2,0,0,9,28.5,1,0.402,0.007,116.2
5,2,0,0,7,22.5,0,0.385,0.453,88.6
9,1,0,1,14,3.9,1,0.614,0.709,32.4
20,0,0,0,3,17.8,4,0.64,0.366,96.0
13,3,0,0,12,4.3,0,0.369,0.322,27.4
18,5,1,1,5,5.6,0,0.427,0.563,29.9
13,6,1,0,6,13.4,4,0.286,0.65,54.6
21,2,0,0,5,14.0,0,0.396,0.373,46.5
22,3,0,0,11,11.3,0,0.39,0.57,42.9
14,0,0,0,13,12.3,0,0.205,0.242,51.7
6,5,1,0,5,13.4,4,0.478,0.519,62.9
22,0,0,0,8,23.6,2,0.361,0.487,94.9
16,3,0,0,14,27.1,4,0.499,0.482,133.7
13,4,0,0,13,7.1,1,0.336,0.457,34.6
18,4,0,1,5,28.9,0,0.547,0.659,120.8
9,3,0,1,7,14.9,1,0.573,0.705,77.4
10,0,0,0,11,24.9,1,0.264,0.467,98.1
9,1,0,1,8,9.5,0,0.468,0.792,39.4
12,5,1,0,3,5.7,1,0.113,0.415,21.6
13,1,0,0,9,4.8,1,0.263,0.578,21.7
9,5,1,1,11,23.4,2,0.611,0.685,97.5
18,6,1,1,3,4.2,0,0.53,0.494,16.2
11,4,0,0,4,15.7,2,0.416,0.575,77.7
10,2,0,0,10,15.6,0,0.269,0.36,61.9
20,1,0,0,3,3.0,0,0.515,0.675,13.8
8,0,0,1,11,15.9,0,0.714,0.734,66.8
10,6,1,0,3,22.2,4,0.366,0.518,100.4
11,5,1,0,12,14.0,0,0.296,0.253,53.0
8,1,0,1,10,28.4,4,0.771,0.82,157.5
12,3,0,0,8,20.8,0,0.428,0.408,87.0
16,6,1,0,13,12.5,2,0.269,0.411,51.0
22,5,1,0,9,25.8,1,0.112,0.457,91.7
15,4,0,0,4,6.7,1,0.534,0.365,34.3
11,5,1,0,10,7.2,0,0.434,0.531,33.5
16,1,0,0,9,12.4,0,0.043,0.354,48.6
21,2,0,0,4,26.8,0,0.248,0.428,94.2
19,6,1,1,3,16.0,0,0.445,0.663,57.8
14,2,0,0,6,28.5,0,0.397,0.248,86.1
14,5,1,0,7,13.2,0,0.267,0.491,41.2
9,1,0,1,9,21.8,0,0.465,0.74,76.3
8,1,0,1,4,11.9,1,0.648,0.673,47.1
11,6,1,0,9,4.7,1,0.016,0.53,25.5
20,4,0,0,12,2.3,0,0.396,0.421,16.2
8,2,0,1,5,19.3,1,0.717,0.645,84.3
7,4,0,1,11,14.9,4,0.627,0.832,85.5
19,1,0,1,3,25.4,4,0.927,0.91,151.1
12,4,0,0,5,16.2,0,0.199,0.085,53.0
14,1,0,0,11,6.0,0,0.205,0.381,34.3
7,3,0,1,9,21.7,0,0.399,0.762,80.7
6,6,1,0,14,25.8,3,0.35,0.664,112.3
5,3,0,0,3,22.3,1,0.278,0.41,98.3
19,5,1,1,10,7.4,4,0.735,0.601,40.8
15,5,1,0,8,9.5,0,0.347,0.328,40.0
10,2,0,0,9,13.7,0,0.33,0.64,52.2
16,6,1,0,13,17.9,4,0.354,0.474,88.4
8,0,0,1,10,27.4,1,0.729,0.818,118.3
12,6,1,0,3,25.2,1,0.251,0.372,94.0
20,1,0,0,13,5.0,0,0.354,0.556,38.4
11,5,1,0,5,29.8,0,0.173,0.581,101.7
21,1,0,0,14,9.8,1,0.438,0.3,46.5
21,2,0,0,4,26.5,0,0.267,0.511,92.1
16,3,0,0,14,7.3,0,0.302,0.505,40.2
11,1,0,0,8,29.7,1,0.182,0.367,101.2
15,1,0,0,10,15.7,0,0.389,0.632,67.0
20,5,1,0,8,2.6,2,0.359,0.336,18.0
16,1,0,0,4,29.9,0,0.351,0.494,99.2
7,2,0,1,8,21.2,4,1.0,0.681,109.0
21,3,0,0,9,8.2,0,0.221,0.434,39.7
8,4,0,1,3,5.3,1,0.49,1.0,24.4
20,2,0,0,9,6.6,0,0.299,0.426,27.1
21,3,0,0,7,5.7,0,0.235,0.492,21.3
16,2,0,0,6,23.6,4,0.449,0.465,112.7
20,0,0,0,14,2.9,0,0.337,0.549,27.4
6,6,1,0,6,7.9,2,0.205,0.336,38.7
6,0,0,0,13,27.9,0,0.288,0.368,103.6
8,1,0,1,8,24.5,4,0.83,0.57,129.8
10,1,0,0,12,14.4,0,0.555,0.498,62.2
21,6,1,0,6,28.7,0,0.297,0.251,94.3
9,3,0,1,6,24.9,0,0.819,0.582,96.8
21,4,0,0,10,9.6,0,0.282,0.549,45.7
19,5,1,1,14,16.1,0,0.404,0.851,59.5
7,6,1,1,5,25.9,2,0.584,0.65,109.1
21,0,0,0,7,18.7,0,0.311,0.608,65.4
16,2,0,0,9,26.3,2,0.342,0.444,100.0
19,1,0,1,10,22.3,0,0.915,0.539,111.2
15,3,0,0,12,22.8,0,0.253,0.431,98.1
13,1,0,0,10,11.5,4,0.37,0.425,61.3
10,2,0,0,10,9.5,0,0.365,0.523,38.7
22,1,0,0,6,13.4,0,0.363,0.784,48.9
5,1,0,0,10,14.4,0,0.277,0.469,59.7
16,5,1,0,6,6.3,0,0.309,0.318,25.6
6,5,1,0,3,8.5,3,0.447,0.567,33.3
11,1,0,0,14,21.1,0,0.357,0.485,76.1
14,1,0,0,5,12.0,1,0.201,0.172,38.9
11,3,0,0,13,10.5,1,0.501,0.484,56.8
22,3,0,0,12,26.0,0,0.269,0.381,84.9
9,0,0,1,5,4.1,2,0.698,0.728,21.5
22,2,0,0,11,13.7,0,0.437,0.587,58.9
6,0,0,0,12,5.2,1,0.293,0.57,34.3
19,2,0,1,11,22.3,0,0.677,0.518,104.3
13,5,1,0,9,27.6,1,0.215,0.303,118.9
8,3,0,1,7,26.7,0,0.698,0.75,115.9
20,2,0,0,10,6.4,0,0.38,0.145,31.2
19,3,0,1,14,22.4,3,0.718,0.761,120.1
14,5,1,0,6,13.2,0,0.019,0.359,42.9
21,1,0,0,13,19.6,0,0.271,0.619,80.4
13,1,0,0,10,11.3,0,0.19,0.39,41.2
14,1,0,0,13,23.6,2,0.635,0.24,118.7
12,1,0,0,7,11.0,4,0.322,0.16,44.8
22,0,0,0,4,5.4,0,0.398,0.2,18.7
18,3,0,1,12,14.1,0,0.619,0.735,57.5
14,0,0,0,6,10.5,0,0.441,0.446,40.5
7,0,0,1,7,11.4,0,0.452,0.686,50.7
19,2,0,1,8,5.0,2,0.807,0.721,35.4
19,5,1,1,4,15.5,0,0.448,0.911,61.4
12,6,1,0,5,9.4,0,0.242,0.503,34.3
16,4,0,0,13,28.0,1,0.437,0.303,109.0
16,2,0,0,7,25.8,3,0.457,0.702,118.5
13,4,0,0,12,11.0,0,0.196,0.369,42.8
6,1,0,0,8,10.6,1,0.273,0.376,40.6
5,0,0,0,10,5.8,0,0.283,0.646,29.4
21,6,1,0,13,16.3,0,0.0,0.367,64.9
5,4,0,0,9,5.1,0,0.487,0.551,28.1
6,5,1,0,6,22.2,0,0.148,0.352,62.2
12,5,1,0,6,24.5,0,0.114,0.473,73.1
14,0,0,0,9,19.4,0,0.074,0.466,64.4
19,2,0,1,7,4.8,1,0.73,0.819,24.9
22,6,1,0,5,24.2,1,0.115,0.313,83.2
5,3,0,0,5,20.7,0,0.469,0.65,73.9
16,4,0,0,6,9.4,1,0.373,0.343,42.0
7,3,0,1,3,24.3,0,0.581,0.832,90.2
20,0,0,0,4,8.9,3,0.276,0.703,40.0
19,6,1,1,5,12.9,0,0.645,0.702,50.7
19,4,0,1,14,10.3,0,0.68,0.429,47.8
13,3,0,0,14,14.7,0,0.19,0.225,56.9
10,3,0,0,7,30.0,4,0.538,0.311,130.3
13,1,0,0,12,26.7,0,0.342,0.433,99.3
16,3,0,0,11,2.3,2,0.312,0.441,18.8
5,5,1,0,3,15.4,0,0.232,0.429,57.5
14,2,0,0,11,7.5,4,0.466,0.529,48.1
6,0,0,0,5,19.5,3,0.368,0.402,73.8
6,6,1,0,5,16.5,1,0.272,0.514,53.4
22,3,0,0,9,14.3,1,0.205,0.448,60.5
15,3,0,0,5,12.6,2,0.423,0.392,51.9
22,3,0,0,6,16.0,0,0.439,0.333,54.1
21,5,1,0,12,27.6,0,0.333,0.519,112.8
7,6,1,1,6,5.7,2,0.815,0.776,27.1
13,2,0,0,7,9.1,0,0.305,0.588,34.6
20,4,0,0,10,25.9,2,0.494,0.407,116.7
13,1,0,0,6,17.9,0,0.304,0.286,65.9
14,0,0,0,13,11.5,1,0.397,0.445,62.2
20,6,1,0,6,16.9,0,0.174,0.419,57.4
5,3,0,0,11,27.6,0,0.271,0.496,95.7
15,2,0,0,8,24.9,0,0.472,0.575,85.7
22,3,0,0,12,11.0,4,0.436,0.406,56.8
17,0,0,1,3,19.0,1,0.588,0.751,70.3
21,0,0,0,10,25.6,2,0.326,0.396,109.0
22,1,0,0,11,5.6,0,0.177,0.486,22.2
22,2,0,0,13,10.3,2,0.26,0.439,48.6
5,0,0,0,8,8.5,1,0.268,0.202,37.9
14,4,0,0,12,8.6,0,0.449,0.718,42.0
21,4,0,0,13,9.5,1,0.304,0.678,50.4
9,5,1,1,3,2.4,0,0.718,0.62,12.3
5,3,0,0,6,12.9,0,0.404,0.293,53.8
15,4,0,0,13,20.9,1,0.322,0.274,81.0
17,2,0,1,9,4.5,0,0.47,0.705,27.0
15,6,1,0,3,27.1,0,0.33,0.267,92.8
18,3,0,1,7,3.7,0,0.644,0.535,19.1
16,6,1,0,8,13.3,0,0.266,0.234,55.4
8,6,1,1,14,16.5,0,0.487,0.638,71.9
14,6,1,0,7,7.3,1,0.218,0.227,32.1
5,2,0,0,7,14.1,2,0.515,0.411,72.5
5,3,0,0,12,23.7,1,0.357,0.468,101.6
13,1,0,0,5,21.0,1,0.265,0.359,75.0
18,0,0,1,8,12.3,4,0.621,0.472,73.9
5,0,0,0,7,3.1,3,0.607,0.025,21.1
14,1,0,0,11,26.4,0,0.211,0.342,72.7
5,1,0,0,3,24.8,4,0.44,0.464,116.1
22,4,0,0,9,16.1,3,0.439,0.482,71.2
5,3,0,0,9,11.2,1,0.368,0.438,47.9
14,3,0,0,3,24.0,0,0.31,0.053,75.4
7,1,0,1,3,9.7,2,0.91,0.589,43.4
15,0,0,0,7,24.1,0,0.133,0.176,76.6
14,0,0,0,12,28.9,1,0.235,0.269,111.1
8,0,0,1,7,14.6,0,0.789,0.719,63.2
5,6,1,0,9,13.0,0,0.233,0.321,54.7
6,2,0,0,6,17.2,0,0.329,0.22,64.7
20,2,0,0,7,22.2,1,0.349,0.385,96.9
20,1,0,0,13,19.0,0,0.311,0.421,77.3
12,2,0,0,4,24.0,0,0.213,0.465,82.9
13,6,1,0,13,10.3,3,0.34,0.585,45.8
9,2,0,1,11,7.3,1,0.542,0.572,45.2
16,0,0,0,11,13.4,0,0.247,0.413,57.3
17,0,0,1,4,12.0,0,0.74,0.571,52.5
6,1,0,0,7,26.9,1,0.351,0.477,102.1
13,2,0,0,9,22.3,2,0.393,0.242,86.6
20,4,0,0,4,25.4,0,0.235,0.479,87.3
5,4,0,0,7,4.1,0,0.302,0.407,22.2
12,2,0,0,9,9.6,0,0.446,0.521,40.6
7,3,0,1,13,28.2,1,0.667,0.539,136.9
5,4,0,0,7,2.9,1,0.398,0.497,16.3
13,4,0,0,9,8.6,0,0.278,0.44,36.7
5,5,1,0,4,5.9,0,0.27,0.382,20.8
12,0,0,0,12,11.6,3,0.459,0.506,76.5
12,5,1,0,10,18.9,0,0.11,0.559,58.5
16,4,0,0,4,27.8,0,0.335,0.598,94.9
10,0,0,0,12,23.0,0,0.346,0.215,92.9
11,0,0,0,4,9.9,0,0.222,0.445,33.1
5,4,0,0,7,11.4,0,0.409,0.314,37.5
12,3,0,0,11,19.9,0,0.416,0.284,72.2
17,4,0,1,7,18.3,1,0.755,0.567,81.8
5,6,1,0,10,14.7,1,0.138,0.25,54.0
22,3,0,0,13,2.6,0,0.152,0.344,21.2
22,0,0,0,4,13.5,2,0.537,0.57,59.6
16,0,0,0,6,4.7,0,0.166,0.341,22.1
9,5,1,1,3,15.2,0,0.35,0.604,55.4
17,2,0,1,8,15.8,0,0.612,0.539,69.0
6,1,0,0,9,8.5,0,0.111,0.179,41.1
14,1,0,0,4,29.6,0,0.437,0.474,115.7
19,5,1,1,4,14.2,0,0.358,0.929,47.4
7,6,1,1,8,22.5,0,0.952,0.597,104.0
17,5,1,1,5,25.8,2,0.679,0.778,112.6
17,6,1,1,14,3.3,0,0.546,0.857,33.5
21,0,0,0,12,5.4,0,0.231,0.665,28.6
21,3,0,0,5,25.9,3,0.39,0.475,115.2
19,5,1,1,3,5.4,1,0.716,0.642,20.4
14,5,1,0,11,7.9,0,0.077,0.595,30.5
10,2,0,0,8,16.8,1,0.25,0.358,61.9
11,3,0,0,10,5.6,1,0.26,0.413,26.5
9,2,0,1,5,9.3,0,0.465,0.664,39.0
13,1,0,0,8,7.6,0,0.196,0.505,32.3
7,4,0,1,8,20.5,0,0.773,0.73,95.8
6,1,0,0,5,7.9,1,0.396,0.569,31.7
20,3,0,0,4,21.4,0,0.378,0.372,83.5
7,3,0,1,8,13.2,0,0.835,0.556,55.9
14,4,0,0,11,8.4,0,0.18,0.322,38.5
10,2,0,0,14,20.0,0,0.318,0.365,77.4
14,2,0,0,14,3.5,1,0.256,0.441,29.0
7,0,0,1,10,21.9,0,0.585,0.739,87.5
12,3,0,0,7,15.5,1,0.424,0.197,70.4
9,0,0,1,4,15.5,0,0.461,0.985,61.8
13,5,1,0,12,19.1,1,0.312,0.363,61.8
21,3,0,0,11,22.7,3,0.597,0.023,105.3
17,3,0,1,8,5.8,0,0.829,0.925,27.3
15,1,0,0,12,23.4,0,0.292,0.476,93.2
20,5,1,0,13,2.5,1,0.301,0.579,17.9
20,5,1,0,11,24.2,4,0.346,0.383,113.6
8,2,0,1,4,23.8,1,0.741,0.922,92.9
8,4,0,1,11,21.3,0,0.587,0.471,96.5
10,6,1,0,13,27.8,0,0.244,0.434,90.4
12,2,0,0,10,21.8,1,0.373,0.672,99.9
21,6,1,0,9,2.5,2,0.343,0.63,17.1
10,0,0,0,10,7.5,0,0.233,0.226,33.8
14,6,1,0,14,5.8,1,0.212,0.354,29.9
12,4,0,0,10,17.9,1,0.278,0.262,77.3
6,6,1,0,12,24.7,4,0.341,0.282,122.1
19,3,0,1,7,22.5,3,0.777,0.396,112.8
10,3,0,0,10,14.7,2,0.35,0.272,66.4
9,5,1,1,6,3.4,0,0.623,0.83,16.9
9,4,0,1,5,27.6,2,1.0,0.51,159.2
12,0,0,0,10,5.6,0,0.299,0.178,29.8
16,3,0,0,7,19.1,1,0.133,0.286,62.8
14,4,0,0,11,20.2,0,0.182,0.46,72.1
16,4,0,0,12,20.8,3,0.506,0.091,88.8
9,4,0,1,14,25.6,1,0.625,0.823,113.5
20,6,1,0,5,16.2,1,0.151,0.167,62.7
16,6,1,0,13,5.0,0,0.256,0.095,33.1
16,4,0,0,6,27.3,0,0.192,0.358,78.1
14,1,0,0,6,28.3,1,0.448,0.371,100.4
5,6,1,0,8,2.9,1,0.222,0.556,14.5
13,1,0,0,3,7.5,0,0.325,0.131,26.9
20,3,0,0,8,19.5,2,0.409,0.437,86.2
11,5,1,0,5,6.4,0,0.347,0.307,24.1
7,6,1,1,10,11.5,0,0.537,0.983,56.5
17,0,0,1,14,4.5,1,0.595,0.844,35.9
9,4,0,1,8,28.1,1,0.646,0.484,114.4
22,6,1,0,14,12.6,0,0.091,0.379,45.2
20,0,0,0,5,12.6,1,0.446,0.512,51.9
8,2,0,1,13,29.6,0,0.577,0.503,113.1
19,6,1,1,13,7.8,1,0.365,0.783,38.4
12,5,1,0,3,24.0,1,0.235,0.297,74.3
5,4,0,0,9,21.2,2,0.604,0.727,105.2
11,6,1,0,13,19.1,4,0.376,0.472,107.4
11,6,1,0,8,15.7,0,0.212,0.137,49.3
9,6,1,1,10,16.4,0,0.423,0.74,59.2
13,2,0,0,14,17.5,1,0.321,0.432,80.8
10,4,0,0,3,18.7,4,0.363,0.312,88.4
9,3,0,1,11,15.5,0,0.72,0.694,67.3
9,5,1,1,9,17.0,0,0.602,0.86,81.7
14,6,1,0,14,5.8,3,0.378,0.557,38.2
9,5,1,1,10,20.5,0,0.504,0.88,83.4
19,5,1,1,12,21.0,0,0.508,0.792,86.1
13,4,0,0,11,26.7,1,0.382,0.412,95.6
20,0,0,0,8,6.9,0,0.261,0.268,28.1
13,3,0,0,14,9.6,2,0.424,0.455,54.8
13,0,0,0,7,17.1,0,0.291,0.466,59.2
17,2,0,1,13,28.0,0,0.775,0.697,128.7
19,2,0,1,11,15.7,0,0.716,0.578,62.4
18,5,1,1,14,23.3,1,0.617,0.706,111.8
11,2,0,0,8,20.9,0,0.349,0.387,72.5
15,2,0,0,5,14.8,1,0.417,0.456,53.9
21,1,0,0,10,14.3,0,0.209,0.263,53.7
16,3,0,0,4,12.4,0,0.158,0.427,39.1
10,2,0,0,13,27.2,4,0.55,0.472,118.6
14,6,1,0,6,17.3,0,0.2,0.206,57.9
17,4,0,1,13,6.9,1,0.494,0.442,35.7
9,6,1,1,4,16.7,0,0.525,0.35,69.6
5,5,1,0,14,16.1,2,0.406,0.285,78.8
6,3,0,0,14,22.1,2,0.517,0.47,105.4
16,0,0,0,14,25.3,1,0.405,0.233,113.0
15,4,0,0,13,22.8,0,0.08,0.268,79.5
12,4,0,0,7,10.1,0,0.281,0.258,38.3
16,0,0,0,6,23.3,1,0.318,0.456,92.5
14,2,0,0,6,12.8,2,0.385,0.635,49.9
15,5,1,0,7,24.2,0,0.084,0.346,76.9
16,6,1,0,8,5.5,4,0.185,0.51,26.5
14,5,1,0,6,10.9,0,0.038,0.074,33.2
7,1,0,1,7,29.0,1,0.674,0.494,110.2
19,1,0,1,3,6.4,2,0.706,0.637,28.8
18,4,0,1,11,3.1,0,0.657,0.866,20.6
5,0,0,0,14,4.4,2,0.408,0.112,24.0
12,6,1,0,8,5.8,0,0.294,0.503,24.0
16,2,0,0,8,16.3,4,0.45,0.311,86.5
6,3,0,0,4,7.2,1,0.323,0.406,27.3
21,0,0,0,10,15.5,0,0.491,0.575,66.3
18,2,0,1,7,13.7,1,0.721,0.798,59.8
19,1,0,1,7,27.7,1,0.587,0.636,98.5
10,5,1,0,14,14.0,0,0.267,0.34,48.5
16,6,1,0,6,5.9,0,0.125,0.421,27.4
8,3,0,1,4,19.0,1,0.668,0.831,96.5
6,6,1,0,10,2.8,2,0.499,0.499,17.4
20,0,0,0,8,22.2,0,0.313,0.567,80.6
15,3,0,0,6,22.4,0,0.255,0.344,79.3
5,1,0,0,14,14.9,0,0.259,0.515,62.7
17,3,0,1,12,18.2,0,0.748,0.686,89.3
9,1,0,1,12,25.9,0,0.519,0.659,105.1
21,4,0,0,11,22.6,1,0.145,0.5,88.4
8,3,0,1,8,21.2,0,0.371,0.815,82.9
16,3,0,0,5,28.4,2,0.299,0.48,104.6
20,6,1,0,14,28.6,2,0.14,0.551,87.8
22,6,1,0,14,22.3,0,0.054,0.579,73.6
5,5,1,0,10,12.3,0,0.472,0.211,60.8
8,3,0,1,5,16.5,0,0.482,0.562,69.5
14,4,0,0,4,5.0,2,0.407,0.274,22.9
12,4,0,0,8,13.9,0,0.287,0.716,53.3
12,1,0,0,9,5.1,2,0.448,0.478,30.4
18,6,1,1,5,27.8,3,0.793,0.328,135.3
19,2,0,1,11,26.0,0,0.486,0.746,99.9
6,3,0,0,9,3.3,4,0.552,0.528,25.7
17,4,0,1,11,13.2,4,0.878,0.522,84.3
14,6,1,0,7,26.4,0,0.319,0.116,103.8
10,1,0,0,10,6.1,2,0.354,0.509,34.5
16,6,1,0,5,3.2,1,0.0,0.595,13.2
21,6,1,0,3,27.0,2,0.383,0.657,113.2
21,0,0,0,6,22.9,1,0.388,0.29,79.3
22,3,0,0,12,7.6,4,0.565,0.661,45.6
13,4,0,0,4,17.2,1,0.188,0.399,59.7
14,6,1,0,7,10.9,0,0.195,0.257,43.7
18,0,0,1,14,15.9,0,0.572,0.645,66.4
15,0,0,0,7,18.8,1,0.294,0.501,68.7
7,0,0,1,11,13.4,0,0.809,0.845,70.2
16,5,1,0,6,6.3,1,0.24,0.548,24.3
20,5,1,0,5,13.3,0,0.244,0.431,47.2
5,4,0,0,5,19.7,1,0.144,0.323,56.2
17,3,0,1,12,18.5,1,0.67,0.666,84.2
7,3,0,1,14,8.3,0,0.911,0.757,42.8
16,1,0,0,8,21.6,2,0.536,0.398,84.6
12,3,0,0,14,22.1,3,0.427,0.493,102.8
10,2,0,0,13,23.7,0,0.346,0.0,102.1
15,4,0,0,7,6.1,0,0.349,0.434,23.9
